talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
TS03.08;TS03;oral;06/02/2019 18:30;06/02/2019;18:30;evening;M;W;yes;no;11;34;22;12;no;yes.last;3;3;1;2;M;6;9;NA;M;18;28;NA;W;6;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.09;TS03;oral;06/02/2019 18:30;06/02/2019;18:30;evening;M;W;yes;no;11;34;22;12;no;yes.other;3;3;1;2;M;8;7;NA;M;22;31;NA;W;10;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.10;TS03;oral;06/02/2019 18:45;06/02/2019;18:45;evening;W;W;yes;no;11;26;16;10;no;no;2;2;0;2;M;32;60;yes;M;32;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.11;TS03;oral;06/02/2019 19:00;06/02/2019;19:00;evening;M;W;yes;no;14;21;13;8;no;yes.last;2;2;0;2;M;22;52;NA;M;20;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS03.12;TS03;oral;06/02/2019 19:15;06/02/2019;19:15;evening;W;W;yes;no;14;24;16;8;no;yes.last;3;3;3;0;W;23;36;NA;W;51;66;yes;W;6;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.01;TS06;invited;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;yes;no;25;30;14;16;no;no;2;2;1;1;M;46;38;NA;W;50;117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.02;TS06;oral;05/02/2019 12:30;05/02/2019;12:30;morning;W;M;yes;no;11.38;27;12;15;no;no;2;2;1;1;W;35;107;NA;M;42;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.03;TS06;oral;05/02/2019 12:45;05/02/2019;12:45;morning;M;M;no;no;11;24;9;15;no;no;2;2;0;2;M;20;110;NA;M;36;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.04;TS06;oral;05/02/2019 13:00;05/02/2019;13:00;morning;M;M;no;no;15;28;13;15;no;no;2;2;0;2;M;12;46;NA;M;28;82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.05;TS06;oral;05/02/2019 13:15;05/02/2019;13:15;morning;W;M;no;no;12;28;10;18;no;no;1;1;0;1;M;10;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
